leverantör,year,belopp
AB KARENINA,2019,5500.0
AB KNUT RYDBERG,2016,3650.5
AB KNUT RYDBERG,2017,800.0
AB KNUT RYDBERG,2019,1630.5
AB KNÖSEBOCKEN,2016,4300.0
AB KNÖSEBOCKEN,2018,240000.0
AB KNÖSEBOCKEN,2019,121336.75
AB KORSARÖD BEHANDLINGSHEM,2016,2414716.0
AB KORSARÖD BEHANDLINGSHEM,2017,241938.0
AB KRISTIANSTAD TEXTIL,2016,5000.0
AB KUNSKAP & KOMPETENS-FUB,2018,3000.0
AB KVÄLLSTIDNINGEN EXPRESSEN,2016,200439.95999999996
AB KVÄLLSTIDNINGEN EXPRESSEN,2017,187813.90999999997
AB KVÄLLSTIDNINGEN EXPRESSEN,2018,206117.47999999992
AB KVÄLLSTIDNINGEN EXPRESSEN,2019,135735.64
AB LAFRI,2016,338.66
AB LARGA,2016,461794.7
AB LARGA,2017,879880.0
AB LARGA,2018,571956.0
AB LARGA,2019,601897.0
AB LINDEC,2019,1421.75
AB LINDHS ROLLO PERSIENNER OCH MARKISER,2016,3544.1400000000003
AB LINDHS ROLLO PERSIENNER OCH MARKISER,2017,8755.31
AB LINDHS ROLLO PERSIENNER OCH MARKISER,2018,17996.010000000002
AB LINDHS ROLLO PERSIENNER OCH MARKISER,2019,11119.3
AB LUNDBY ÅKERIET,2018,5390.5
AB LYSEKILS VARMFÖRZINKNING,2016,74877.69
AB LYSEKILS VARMFÖRZINKNING,2017,89611.26000000001
AB LYSEKILS VARMFÖRZINKNING,2018,47789.72
AB LYSEKILS VARMFÖRZINKNING,2019,88158.16
AB LÅFA,2016,132876.86
AB LÅFA,2017,121354.86999999994
AB LÅFA,2018,76422.78000000001
AB LÅFA,2019,138868.66999999998
AB LÅNGVIKEN,2016,6570.0
AB LÅNGVIKEN,2017,8953.0
AB LÅNGVIKEN,2018,6550.0
AB M&E OHLSSONS KLOCKGJUTERI,2016,3919.97
AB MARCONI,2016,2177460.0
AB MARCONI,2017,2202750.0
AB MARCONI,2018,2308200.0
AB MARCONI,2019,2632134.0
AB MEC-CON,2016,33373.74
AB MEC-CON,2017,3461.0
AB MICATRONE,2016,2960.0
AB MJW KONSULT,2018,19593.75
AB MJW KONSULT,2019,24180.0
AB MONTANO,2016,2290.3999999999996
AB MONTANO,2017,11718.5
AB MONTANO,2018,27277.73
AB MONTANO,2019,89089.30000000002
AB NINOLAB,2016,38820.79
AB NINOLAB,2017,59464.19
AB NINOLAB,2018,63696.79
AB NINOLAB,2019,64914.619999999995
AB NORDISKA KOMPANIET,2016,351.2
AB NORDISKA KOMPANIET C/O HUFVUDSTA,2016,10345.0
AB NORDISKA KOMPANIET C/O HUFVUDSTA,2019,452.0
AB NORDREPORTERN,2016,138633.1499999999
AB NORDREPORTERN,2017,128305.0
AB NORDREPORTERN,2018,104260.46999999997
AB NORDREPORTERN,2019,98323.92000000004
AB NYHETSBYRÅN DIREKT,2019,9014.0
AB OMSORGSCOMPAGNIET I SALEM,2018,40215.0
AB PAINTBALLFABRIKEN I GÖTEBORG,2016,84230.0
AB PAINTBALLFABRIKEN I GÖTEBORG,2017,22960.0
AB PAINTBALLFABRIKEN I GÖTEBORG,2018,8888.39
AB PAINTBALLFABRIKEN I GÖTEBORG,2019,45849.75
AB PLANTARIUM I BORÅS,2018,1051124.25
AB PLANTARIUM I BORÅS,2019,1680209.5
